190.44,-88.6,9414.92,-118,-534,-14592,-262.74,108.72,19.18
221.44,-77.6,12467.92,112,442,-14702,-253.63,128.23,19.18
79.44,-44.6,10965.92,180,230,-14464,-240.88,152.61,19.18
178.44,-35.6,12224.92,476,358,-14388,-227.22,172.11,19.18
353.44,-81.6,13768.92,-262,-270,-14552,-205.36,199.42,17.36
263.44,-249.6,14378.92,-540,276,-14692,-187.14,217.95,16.45
308.44,-159.6,11911.92,500,-132,-14884,-161.64,239.4,16.45
310.44,-233.6,9448.92,-104,318,-14542,-139.78,253.05,15.54
362.44,-25.6,8848.92,-246,662,-14686,-123.39,262.8,14.63
161.44,-171.6,8204.92,62,-12,-14844,-103.35,269.63,12.8
147.44,-32.6,9397.92,2,498,-14700,-86.96,275.48,12.8
301.44,-172.6,11369.92,-418,-296,-14524,-61.45,283.28,11.89
529.44,-57.6,13571.92,60,866,-14628,-35.04,287.18,10.98
